Active or Inactive Business,Tax Type,Retail Permit Number,Consolidated Number,Name of Business,Address of the Business,State,County Name,Registration County Number,Business Location County Number,Department City Code,City Location of Business,Business Zip Code,NAICS code,Description of type of NAICS code,Date Permit was Issued,Date Permit was Cancelled
Inactive,Retail Sales,100003115,,DATAWORKS DEVELOPMENT INC,6608 216TH ST SW STE 100,WA,,0.0,0,,MOUNTLAKE TER,98043-2084,5112.0,Software Publishers,2019-03-07T00:00:00.000,2021-01-31T00:00:00.000
Active,Retail Sales,308700211,308700111,"NOURISH MIND & BODY, LLC",1366 275TH ST,IA,Buchanan,10.0,10,2.0,JESUP,50648-9457,621399.0,Offices of All Other Miscellaneous Health Practitioners,2023-05-01T00:00:00.000,
Inactive,Retail Sales,S00235563,S00235563,DROPZONE LLC,361 SOUTHWEST DR 307,AR,,0.0,0,,JONESBORO,72401-0000,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2021-08-31T00:00:00.000,2022-07-31T00:00:00.000
Inactive,Retail Sales,177133565,,"SIMMONS, RICHARD; TWO KAYAK WOODWORKING",509 SW ASH DR,IA,Polk,77.0,77,5.0,ANKENY,50023-2905,3219.0,Other Wood Product Manufacturing,2021-07-01T00:00:00.000,2024-06-01T00:00:00.000
Inactive,Retail Sales,633505392,,NORTH FAYETTE COMMUNITY SCHOOL DIST,PO BOX 73 105 E MAIN ST,IA,Fayette,33.0,33,3.0,WEST UNION,52175-0073,7139.0,Other Amusement and Recreation Industries,2001-07-06T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Remote Sales,200172226,200172226,"TELFER, CLINT",27930 CALVERT RD,TX,,0.0,0,,TOMBALL,77377-6125,,,2016-08-11T00:00:00.000,2017-06-12T00:00:00.000
Active,Retail Sales,170006411,,"BROSSART, LARRY F; BROSSART ELECTRIC",805 E 9 ST,IA,Muscatine,70.0,70,1.0,MUSCATINE,52761-0000,8112.0,Electronic and Precision Equipment Repair and Maintenance,1973-01-05T00:00:00.000,
Inactive,Retail Sales,168003811,,"CHANCE, LINDA K; LINDAS QUILTING",1264 625TH AVE,IA,Monroe,68.0,68,3.0,LOVILIA,50150-8756,,,2008-07-01T00:00:00.000,2020-06-30T00:00:00.000
Active,Retail Sales,S00125819,S00125819,KATS NATURALS INC,543 SEQUACHEE INDUSTRIAL PARK DR,TN,,0.0,0,,DUNLAP,37327-6321,325411.0,Medicinal and Botanical Manufacturing,2019-08-01T00:00:00.000,
Active,Retail Sales,306903525,306903525,"OLSON, MARK A",1239 JAVELIN PL,IA,Boone,8.0,8,3.0,OGDEN,50212-7425,457110.0,Gasoline Stations with Convenience Stores,2025-05-16T00:00:00.000,
Active,Remote Sales,200145337,200145337,ZENMATION INC,215 10TH AVE S UNIT 913,MN,,0.0,0,,MINNEAPOLIS,55415-2111,,,2001-08-14T00:00:00.000,
Inactive,Retail Sales,305605428,130009662,"KAMINSKA, CHELSIE; CK MAKEUP ARTISTRY",1907 AURORA AVE W,IA,Dickinson,30.0,30,2.0,SPIRIT LAKE,51360-1034,8121.0,Personal Care Services,2025-02-03T00:00:00.000,2025-12-05T00:00:00.000
Inactive,Retail Sales,826421,S00175609,"THOMAS, DOUGLAS E; THOMAS CONSULTING ATOMIC CELLULAR",8028 MONTE CARLO DR NW,NM,,0.0,0,,ALBUQUERQUE,87120-3287,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2020-07-02T00:00:00.000,2023-08-17T00:00:00.000
Active,Retail Sales,178026478,,CORPUS CHRISTI CATHOLIC CHURCH,3304 4TH AVE,IA,Pottawattamie,78.0,78,1.0,COUNCIL BLUFFS,51501-3323,7132.0,Gambling Industries,2018-05-01T00:00:00.000,
Active,Retail Sales,177068120,,"SALE, GERALD L; LOWER BEAVER CONOCO",4540 LOWER BEAVER RD,IA,Polk,77.0,77,1.0,DES MOINES,50310-4919,8113.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main,1985-04-01T00:00:00.000,
Inactive,Remote Sales,600516057,600516057,"BIX, SHARON",13910 LANTERN RD,MO,,0.0,0,,HOPKINS,64461-7208,,,2009-12-11T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Consumer Use,907002663,907002663,"HOMESPUN FUN LLC; AGUILAR, CHERYL A",4017 CADILLAC DR,IA,Black Hawk,7.0,7,1.0,WATERLOO,50701-1609,4539.0,Other Miscellaneous Store Retailers,2018-04-05T00:00:00.000,2022-06-30T00:00:00.000
Inactive,Retail Sales,820625,S00118132,REDWOOD WELLNESS LLC,11814 JEFFERSON BLVD,CA,,0.0,0,,CULVER CITY,90230-6310,3399.0,Other Miscellaneous Manufacturing,2019-06-01T00:00:00.000,2023-03-01T00:00:00.000
Active,Retail Sales,300003220,300003220,CARLITO'S PLACE INC,1205 33RD ST,IA,Lee,56.0,56,1.0,FORT MADISON,52627-3502,722511.0,Full-Service Restaurants,2023-09-02T00:00:00.000,
Inactive,Retail Sales,304504318,304504218,"ZIBBY'S GROOMING & BOUTIQUE; ZIBBY'S GROOMING, LLC",511 3RD AVE,IA,O'Brien,71.0,71,1.0,SHELDON,51201-1134,812910.0,Pet Care (except Veterinary) Services,2022-05-16T00:00:00.000,2025-09-30T00:00:00.000
Active,Retail Sales,305400123,305400023,CORNELLCOOKSON LLC,24 ELMWOOD AVE,PA,,0.0,0,,MOUNTAIN TOP,18707-2100,332321.0,Metal Window and Door Manufacturing,2024-11-01T00:00:00.000,
Active,Retail Sales,S00221948,S00221948,FRESENIUS MEDICAL CARE RX LLC,1000 CORPORATE CENTRE DR STE 400,TN,,0.0,0,,FRANKLIN,37067-2663,4461.0,Health and Personal Care Stores,2021-05-27T00:00:00.000,
Active,Retail Sales,116005607,7327,MANATT'S INC,W 12 ST DR,IA,Cedar,79.0,16,1.0,TIPTON,52772-0000,2381.0,"Foundation, Structure, and Building Exterior Contractors",1992-01-02T00:00:00.000,
Active,Remote Sales,200172164,200172164,"CINJER LLC, YOUNG & RICHARDS",7021 S EDINBURG PL,SD,,0.0,0,,SIOUX FALLS,57108-9402,,,2016-07-01T00:00:00.000,
Active,Retail Sales,100010028,,"BAKER, MICHAEL; MBI AUTO",1434 BYRON RD,MI,,0.0,0,,BYRON CENTER,49315-8919,4543.0,Direct Selling Establishments,2020-06-01T00:00:00.000,
Inactive,Retail Sales,828177,S00193603,ORLANDO BATHING SUIT LLC,5337 MILLENIA LAKES BLVD STE 400,FL,,0.0,0,,ORLANDO,32839-0000,458110.0,Clothing and Clothing Accessories Retailers,2020-11-01T00:00:00.000,2020-11-01T00:00:00.000
Active,Retail Sales,177102743,,"RICHARDSON-RHINER INC, RICHARDSON RHINER INC",3307 SE 18TH CT,IA,Polk,77.0,77,1.0,DES MOINES,50320-1903,238220.0,"Plumbing, Heating, and Air-Conditioning Contractors",2002-10-01T00:00:00.000,
Active,Retail Sales,107040592,,"PF WATERLOO LLC, PLANET FITNESS",2080 E RIDGEWAY AVE,IA,Black Hawk,7.0,7,1.0,WATERLOO,50702-0000,5419.0,"Other Professional, Scientific, and Technical Services",2013-12-15T00:00:00.000,
Inactive,Retail Sales,305106511,305106411,"ELLIS, PAYTON N; POSH BEAUTY BAR",1380 SW VINTAGE PKWY STE 112,IA,Polk,14.0,77,5.0,ANKENY,50023-7285,812112.0,Beauty Salons,2022-08-01T00:00:00.000,2024-12-31T00:00:00.000
Active,Retail Sales,S00473873,S00473873,"MAJESTIC INVESTMENT & FINANCE LTD, JIMS HTS AUTO",13514 CORMERE AVE,OH,,0.0,0,,CLEVELAND,44120-1524,332710.0,Machine Shops,2025-07-08T00:00:00.000,
Active,Retail Sales,805846,S00041423,ZIPFIZZ CORPORATION,18303 BOTHELL EVERTT HWY STE 140,WA,,0.0,0,,MILL CREEK,98012-5232,4461.0,Health and Personal Care Stores,2012-04-01T00:00:00.000,
Active,Retail Sales,S00442114,S00442114,FOTRONIC CORPORATION,5 COMMONWEALTH AVE UNIT 6,MA,,0.0,0,,WOBURN,01801-1069,423840.0,Industrial Supplies Merchant Wholesalers,2024-12-31T00:00:00.000,
Inactive,Consumer Use,985001395,985001395,"MAY VETERINARY SERVICES PC, BALLARD VETERINARY CLINIC",PO BOX 238,IA,Story,85.0,85,8.0,SLATER,50244-0238,541940.0,Veterinary Services,2013-01-01T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,100002486,,"THE PROPHET CORPORATION, GOPHER SPORT",2525 LEMOND ST,MN,,47.0,0,,OWATONNA,55060-5081,3399.0,Other Miscellaneous Manufacturing,2019-02-18T00:00:00.000,
Active,Retail Sales,300203031,300202931,"MCANINCH BLASTING COMPANY LLC, MCANINCH BLASTING CO",1494 565TH TRL,IA,Monroe,68.0,68,3.0,LOVILIA,50150-8742,238990.0,All Other Specialty Trade Contractors,2025-01-01T00:00:00.000,
